DateTime,AvgTemp
31-01-2021,27.4
01-02-2021,28.1
02-02-2021,28.8
03-02-2021,28
04-02-2021,27.3
05-02-2021,27
06-02-2021,28.2
07-02-2021,28.5
08-02-2021,27.2
09-02-2021,28.2
10-02-2021,27.3
11-02-2021,29.1
12-02-2021,28.8
13-02-2021,28.9
14-02-2021,28.8
15-02-2021,28.3
16-02-2021,29.3
17-02-2021,27.8
18-02-2021,28.6
19-02-2021,28.5
20-02-2021,27.2
21-02-2021,27.6
22-02-2021,27.8
23-02-2021,28.1
24-02-2021,27.8
25-02-2021,26.6
26-02-2021,27.9
27-02-2021,27.9
28-02-2021,27
01-03-2021,28.2
02-03-2021,27.8
03-03-2021,27.7
04-03-2021,27.4
05-03-2021,28.2
06-03-2021,27.2
07-03-2021,27.4
08-03-2021,27.5
09-03-2021,28
10-03-2021,28.4
11-03-2021,27.9
12-03-2021,27.1
13-03-2021,27.1
14-03-2021,28.2
15-03-2021,28.5
16-03-2021,27.9
17-03-2021,28.1
18-03-2021,29.4
19-03-2021,28.9
20-03-2021,29.4
21-03-2021,29.7
22-03-2021,29.5
23-03-2021,29
24-03-2021,28.5
25-03-2021,29.2
26-03-2021,28.8
27-03-2021,29
28-03-2021,29.1
29-03-2021,29.2
30-03-2021,28
31-03-2021,29
01-04-2021,29.2
02-04-2021,29.1
03-04-2021,30
04-04-2021,29.4
05-04-2021,29.4
06-04-2021,27.6
07-04-2021,27.8
08-04-2021,28.8
09-04-2021,29.4
10-04-2021,28.8
11-04-2021,28.4
12-04-2021,29.2
13-04-2021,29.3
14-04-2021,28.8
15-04-2021,28.6
16-04-2021,29.7
17-04-2021,29.5
18-04-2021,29.3
19-04-2021,28.7
20-04-2021,29.1
21-04-2021,28.6
22-04-2021,28.9
23-04-2021,28.6
24-04-2021,29.2
25-04-2021,29
26-04-2021,29.9
27-04-2021,30.4
28-04-2021,29
29-04-2021,28.7
30-04-2021,29.8
01-05-2021,30
02-05-2021,29.6
03-05-2021,30
04-05-2021,30
05-05-2021,30.6
06-05-2021,29.9
07-05-2021,29.5
08-05-2021,28.9
09-05-2021,28.6
10-05-2021,29.6
11-05-2021,29.8
12-05-2021,29.9
13-05-2021,29.4
14-05-2021,30
15-05-2021,29.5
16-05-2021,29.3
17-05-2021,29
18-05-2021,29.5
19-05-2021,27.7
20-05-2021,28.6
21-05-2021,29.7
22-05-2021,29.3
23-05-2021,29.1
24-05-2021,29.8
25-05-2021,29.9
26-05-2021,30
27-05-2021,29.7
28-05-2021,29.4
29-05-2021,30.4
30-05-2021,28.7
31-05-2021,28.6
01-06-2021,29.2
02-06-2021,29.7
03-06-2021,29.9
04-06-2021,29.9
05-06-2021,30.1
06-06-2021,30.1
07-06-2021,29.3
08-06-2021,29.3
09-06-2021,29.7
10-06-2021,30
11-06-2021,30.1
12-06-2021,29.4
13-06-2021,29.7
14-06-2021,28.9
15-06-2021,28
16-06-2021,28.6
17-06-2021,27.9
18-06-2021,28.7
19-06-2021,28.7
20-06-2021,26.7
21-06-2021,28
22-06-2021,28.4
23-06-2021,28.9
24-06-2021,27.4
25-06-2021,27.9
26-06-2021,29.3
27-06-2021,29.4
28-06-2021,27.6
29-06-2021,29
30-06-2021,29.2
01-07-2021,28.1
02-07-2021,28.5
03-07-2021,28.5
04-07-2021,28
05-07-2021,28.6
06-07-2021,27.4
07-07-2021,27.9
08-07-2021,28.6
09-07-2021,29.3
10-07-2021,29.3
11-07-2021,29.9
12-07-2021,28.9
13-07-2021,28.5
14-07-2021,28.4
15-07-2021,28.2
16-07-2021,27.4
17-07-2021,27.8
18-07-2021,28.6
19-07-2021,29.3
20-07-2021,29
21-07-2021,28.7
22-07-2021,28.8
23-07-2021,28.9
24-07-2021,28.8
25-07-2021,27.6
26-07-2021,27.4
27-07-2021,26.8
28-07-2021,27.4
29-07-2021,27.9
30-07-2021,28.6
31-07-2021,28.6
01-08-2021,28.3
02-08-2021,28.7
03-08-2021,28.8
04-08-2021,29
05-08-2021,28.8
06-08-2021,29.4
07-08-2021,29.3
08-08-2021,30
09-08-2021,29.5
10-08-2021,29.9
11-08-2021,27.7
12-08-2021,28.4
13-08-2021,29.2
